"Pickup_DateTime","DropOff_datetime","PUlocationID","DOlocationID","SR_Flag","Dispatching_base_number","Dispatching_base_num"
"2018-06-05 05:48:34","2018-06-05 05:58:07","","265","","B01509",""
"2018-06-05 05:53:35","2018-06-05 05:58:50","","265","","B01509",""
"2018-06-05 05:56:30","2018-06-05 06:02:28","","265","","B01509",""
"2018-06-05 06:01:15","2018-06-05 06:42:13","","265","","B01509",""
"2018-06-05 06:06:33","2018-06-05 06:27:44","","265","","B01509",""
"2018-06-05 06:09:42","2018-06-05 06:19:22","","265","","B01509",""
"2018-06-05 06:17:27","2018-06-05 06:25:10","","265","","B01509",""
"2018-06-05 06:18:29","2018-06-05 06:39:38","","265","","B01509",""
"2018-06-05 06:20:04","2018-06-05 06:27:12","","265","","B01509",""
"2018-06-05 06:25:11","2018-06-05 06:28:56","","265","","B01509",""
"2018-06-05 06:27:07","2018-06-05 06:34:28","","265","","B01509",""
"2018-06-05 06:33:43","2018-06-05 06:48:53","","265","","B01509",""
"2018-06-05 06:47:34","2018-06-05 07:08:07","","265","","B01509",""
